s,c,id
http://www.wikidata.org/entity/Q133182,14,Q133182
http://www.wikidata.org/entity/Q133215,299,Q133215
http://www.wikidata.org/entity/Q133220,21,Q133220
http://www.wikidata.org/entity/Q133311,752,Q133311
http://www.wikidata.org/entity/Q133346,681,Q133346
http://www.wikidata.org/entity/Q133442,39,Q133442
http://www.wikidata.org/entity/Q133492,1454,Q133492
http://www.wikidata.org/entity/Q133547,9,Q133547
http://www.wikidata.org/entity/Q133585,28,Q133585
http://www.wikidata.org/entity/Q133056,20769,Q133056
http://www.wikidata.org/entity/Q133744,18,Q133744
http://www.wikidata.org/entity/Q133792,6,Q133792
http://www.wikidata.org/entity/Q133805,9,Q133805
http://www.wikidata.org/entity/Q134041,33,Q134041
http://www.wikidata.org/entity/Q134161,271,Q134161
http://www.wikidata.org/entity/Q134219,76,Q134219
http://www.wikidata.org/entity/Q134307,10,Q134307
http://www.wikidata.org/entity/Q134390,12,Q134390
http://www.wikidata.org/entity/Q134447,335,Q134447
http://www.wikidata.org/entity/Q134550,79,Q134550
http://www.wikidata.org/entity/Q134560,20,Q134560
http://www.wikidata.org/entity/Q134566,36,Q134566
http://www.wikidata.org/entity/Q134574,245,Q134574
http://www.wikidata.org/entity/Q134626,37,Q134626
http://www.wikidata.org/entity/Q134737,32,Q134737
http://www.wikidata.org/entity/Q134768,12,Q134768
http://www.wikidata.org/entity/Q134808,80,Q134808
http://www.wikidata.org/entity/Q134830,32,Q134830
http://www.wikidata.org/entity/Q134856,264,Q134856
http://www.wikidata.org/entity/Q134995,213,Q134995
http://www.wikidata.org/entity/Q135010,33,Q135010
http://www.wikidata.org/entity/Q135436,7,Q135436
http://www.wikidata.org/entity/Q136269,23,Q136269
http://www.wikidata.org/entity/Q136689,22,Q136689
http://www.wikidata.org/entity/Q136822,14,Q136822
http://www.wikidata.org/entity/Q136932,12,Q136932
http://www.wikidata.org/entity/Q137341,65,Q137341
http://www.wikidata.org/entity/Q134556,87319,Q134556
http://www.wikidata.org/entity/Q137535,430,Q137535
http://www.wikidata.org/entity/Q137773,175,Q137773
http://www.wikidata.org/entity/Q137823,40,Q137823
http://www.wikidata.org/entity/Q137937,7,Q137937
http://www.wikidata.org/entity/Q137959,12,Q137959
http://www.wikidata.org/entity/Q138756,11,Q138756
http://www.wikidata.org/entity/Q138775,16,Q138775
http://www.wikidata.org/entity/Q138796,79,Q138796
http://www.wikidata.org/entity/Q138825,51,Q138825
http://www.wikidata.org/entity/Q138840,14,Q138840
http://www.wikidata.org/entity/Q139106,40,Q139106
http://www.wikidata.org/entity/Q139677,725,Q139677
http://www.wikidata.org/entity/Q140544,11,Q140544
http://www.wikidata.org/entity/Q140588,332,Q140588
http://www.wikidata.org/entity/Q140686,9,Q140686
http://www.wikidata.org/entity/Q141140,111,Q141140
http://www.wikidata.org/entity/Q141683,630,Q141683
http://www.wikidata.org/entity/Q141716,19,Q141716
http://www.wikidata.org/entity/Q142031,260,Q142031
http://www.wikidata.org/entity/Q142043,26,Q142043
http://www.wikidata.org/entity/Q142085,19,Q142085
http://www.wikidata.org/entity/Q142714,707,Q142714
http://www.wikidata.org/entity/Q142791,24,Q142791
http://www.wikidata.org/entity/Q143467,11,Q143467
http://www.wikidata.org/entity/Q143912,199,Q143912
http://www.wikidata.org/entity/Q144019,23,Q144019
http://www.wikidata.org/entity/Q144281,19,Q144281
http://www.wikidata.org/entity/Q145134,42,Q145134
http://www.wikidata.org/entity/Q145179,21,Q145179
http://www.wikidata.org/entity/Q145806,7,Q145806
http://www.wikidata.org/entity/Q145992,103,Q145992
http://www.wikidata.org/entity/Q146071,8,Q146071
http://www.wikidata.org/entity/Q146083,278,Q146083
http://www.wikidata.org/entity/Q146149,395,Q146149
http://www.wikidata.org/entity/Q146491,17,Q146491
http://www.wikidata.org/entity/Q146591,180,Q146591
http://www.wikidata.org/entity/Q146728,8,Q146728
http://www.wikidata.org/entity/Q146768,7,Q146768
http://www.wikidata.org/entity/Q146924,13,Q146924
http://www.wikidata.org/entity/Q147027,29,Q147027
http://www.wikidata.org/entity/Q147276,13,Q147276
http://www.wikidata.org/entity/Q147538,71,Q147538
http://www.wikidata.org/entity/Q148163,10,Q148163
http://www.wikidata.org/entity/Q148319,141,Q148319
http://www.wikidata.org/entity/Q148401,21,Q148401
http://www.wikidata.org/entity/Q148578,119,Q148578
http://www.wikidata.org/entity/Q148571,709,Q148571
http://www.wikidata.org/entity/Q148837,53,Q148837
http://www.wikidata.org/entity/Q148942,18,Q148942
http://www.wikidata.org/entity/Q149010,36,Q149010
http://www.wikidata.org/entity/Q149086,61,Q149086
http://www.wikidata.org/entity/Q149377,11,Q149377
http://www.wikidata.org/entity/Q149537,212,Q149537
http://www.wikidata.org/entity/Q149621,1439,Q149621
http://www.wikidata.org/entity/Q149757,12,Q149757
http://www.wikidata.org/entity/Q149789,98,Q149789
http://www.wikidata.org/entity/Q149882,14,Q149882
http://www.wikidata.org/entity/Q149918,788,Q149918
http://www.wikidata.org/entity/Q149566,12152,Q149566
http://www.wikidata.org/entity/Q149985,10,Q149985
http://www.wikidata.org/entity/Q150093,132,Q150093
http://www.wikidata.org/entity/Q150139,95,Q150139
http://www.wikidata.org/entity/Q150147,9,Q150147
http://www.wikidata.org/entity/Q150784,2529,Q150784
http://www.wikidata.org/entity/Q150986,8,Q150986
http://www.wikidata.org/entity/Q151411,7,Q151411
http://www.wikidata.org/entity/Q151771,2096,Q151771
http://www.wikidata.org/entity/Q151885,1526,Q151885
http://www.wikidata.org/entity/Q151942,30,Q151942
http://www.wikidata.org/entity/Q151957,14,Q151957
http://www.wikidata.org/entity/Q152005,60,Q152005
http://www.wikidata.org/entity/Q152018,146,Q152018
http://www.wikidata.org/entity/Q152065,22,Q152065
http://www.wikidata.org/entity/Q152095,6,Q152095
http://www.wikidata.org/entity/Q152081,3211,Q152081
http://www.wikidata.org/entity/Q152281,71,Q152281
http://www.wikidata.org/entity/Q152285,7,Q152285
http://www.wikidata.org/entity/Q152392,67,Q152392
http://www.wikidata.org/entity/Q152450,1275,Q152450
http://www.wikidata.org/entity/Q152548,25,Q152548
http://www.wikidata.org/entity/Q152563,6,Q152563
http://www.wikidata.org/entity/Q152574,41,Q152574
http://www.wikidata.org/entity/Q152716,19,Q152716
http://www.wikidata.org/entity/Q152732,64,Q152732
http://www.wikidata.org/entity/Q152786,14,Q152786
http://www.wikidata.org/entity/Q152810,90,Q152810
http://www.wikidata.org/entity/Q152841,7,Q152841
http://www.wikidata.org/entity/Q153026,61,Q153026
http://www.wikidata.org/entity/Q153562,658,Q153562
http://www.wikidata.org/entity/Q153652,10,Q153652
http://www.wikidata.org/entity/Q153813,12,Q153813
http://www.wikidata.org/entity/Q153918,9,Q153918
http://www.wikidata.org/entity/Q153938,111,Q153938
http://www.wikidata.org/entity/Q153936,77,Q153936
http://www.wikidata.org/entity/Q153988,36,Q153988
http://www.wikidata.org/entity/Q154012,6,Q154012
http://www.wikidata.org/entity/Q154224,13,Q154224
http://www.wikidata.org/entity/Q154250,149,Q154250
http://www.wikidata.org/entity/Q154253,49,Q154253
http://www.wikidata.org/entity/Q154278,7,Q154278
http://www.wikidata.org/entity/Q154507,27,Q154507
http://www.wikidata.org/entity/Q154547,289,Q154547
http://www.wikidata.org/entity/Q154575,62,Q154575
http://www.wikidata.org/entity/Q154773,168,Q154773
http://www.wikidata.org/entity/Q154954,10,Q154954
http://www.wikidata.org/entity/Q155076,36,Q155076
